Date,Year,Customer number,Region,Customer type,Division,Product,Division product combo,Distribution channel,Sales revenue,Sales tax amount,Total invoice,Variable COGS
2020-08-26,Prior,16764-3-IN,North,Individual,Electronics,TV and video,Electronics: TV and video,Store,4130,210.63,4340.63,1652
2020-12-11,Prior,18719-4-IN,South,Individual,Electronics,TV and video,Electronics: TV and video,Catalog,490,35.77,525.77,196
2021-12-18,Current,15629-3-IN,North,Individual,Electronics,Computers,Electronics: Computers,Store,3700,207.2,3907.2,1480
2021-11-01,Current,10122-5-IN,West,Individual,Electronics,Computers,Electronics: Computers,Store,2210,139.23,2349.23,884
2020-05-17,Prior,19951-4-BU,South,Business,Electronics,TV and video,Electronics: TV and video,Website,2620,172.92,2792.92,1048
2020-07-17,Prior,13649-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1060,29.68,1089.68,424
2020-03-13,Prior,19495-1-BU,Central,Business,Office supplies,Writing,Office supplies: Writing,Store,260,20.28,280.28,104
2021-08-11,Current,14325-4-BU,South,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,20,1.32,21.32,8
2021-06-12,Current,19176-5-IN,West,Individual,Electronics,Camera and photo,Electronics: Camera and photo,Website,1520,82.08,1602.08,608
2021-12-31,Current,14432-1-BU,Central,Business,Office supplies,Writing,Office supplies: Writing,Catalog,30,1.29,31.29,12
2020-04-17,Prior,17683-5-BU,West,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Website,180,9.18,189.18,72
2021-07-11,Current,13136-1-BU,Central,Business,Office supplies,Writing,Office supplies: Writing,Website,480,22.56,502.56,192
2020-04-06,Prior,10913-5-BU,West,Business,Electronics,TV and video,Electronics: TV and video,Website,1120,71.68,1191.68,448
2020-09-05,Prior,17313-2-BU,East,Business,Electronics,Computers,Electronics: Computers,Store,2690,121.05,2811.05,1076
2021-09-26,Current,15344-5-IN,West,Individual,Office supplies,Paper,Office supplies: Paper,Website,1000,94.0,1094.0,400
2020-01-21,Prior,13020-4-IN,South,Individual,Office supplies,Calendars,Office supplies: Calendars,Website,180,6.48,186.48,72
2020-04-10,Prior,16644-5-IN,West,Individual,Electronics,Camera and photo,Electronics: Camera and photo,Store,1720,104.92,1824.92,688
2021-10-20,Current,14673-2-IN,East,Individual,Office supplies,Paper,Office supplies: Paper,Catalog,720,68.4,788.4,288
2021-09-02,Current,16426-3-IN,North,Individual,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Catalog,110,5.28,115.28,44
2021-09-15,Current,10399-1-BU,Central,Business,Office supplies,Paper,Office supplies: Paper,Store,90,3.78,93.78,36
2021-11-04,Current,12038-1-BU,Central,Business,Electronics,TV and video,Electronics: TV and video,Catalog,8030,529.98,8559.98,3212
2021-07-13,Current,12067-5-BU,West,Business,Office supplies,Office basics,Office supplies: Office basics,Catalog,130,7.93,137.93,52
2021-07-10,Current,15469-4-IN,South,Individual,Electronics,Computers,Electronics: Computers,Store,3020,169.12,3189.12,1208
2020-06-06,Prior,13990-4-BU,South,Business,Electronics,Cell phones,Electronics: Cell phones,Website,3350,170.85,3520.85,1340
2020-10-29,Prior,12224-2-IN,East,Individual,Office supplies,Office basics,Office supplies: Office basics,Catalog,1280,65.28,1345.28,512
2021-09-01,Current,11662-5-BU,West,Business,Office supplies,Office basics,Office supplies: Office basics,Store,960,65.28,1025.28,384
2020-12-26,Prior,17884-1-BU,Central,Business,Electronics,Computers,Electronics: Computers,Store,3240,181.44,3421.44,1296
2020-03-31,Prior,19031-5-IN,West,Individual,Office supplies,Paper,Office supplies: Paper,Website,210,8.61,218.61,84
2021-06-06,Current,13103-3-IN,North,Individual,Office supplies,Paper,Office supplies: Paper,Store,880,66.0,946.0,352
2020-10-26,Prior,11314-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,3710,315.35,4025.35,1484
2021-12-29,Current,17295-1-IN,Central,Individual,Office supplies,Paper,Office supplies: Paper,Store,930,53.94,983.94,372
2021-12-14,Current,18480-3-BU,North,Business,Electronics,Cell phones,Electronics: Cell phones,Store,3290,174.37,3464.37,1316
2021-10-25,Current,12416-2-IN,East,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1890,158.76,2048.76,756
2020-11-10,Prior,18021-4-BU,South,Business,Electronics,Cell phones,Electronics: Cell phones,Store,3340,207.08,3547.08,1336
2020-08-12,Prior,16413-1-BU,Central,Business,Electronics,Computers,Electronics: Computers,Website,1280,93.44,1373.44,512
2020-09-01,Prior,17396-2-BU,East,Business,Office supplies,Office basics,Office supplies: Office basics,Store,220,14.96,234.96,88
2021-12-31,Current,19371-4-BU,South,Business,Office supplies,Paper,Office supplies: Paper,Website,560,29.12,589.12,224
2021-06-12,Current,11024-3-IN,North,Individual,Electronics,TV and video,Electronics: TV and video,Store,4230,152.28,4382.28,1692
2021-06-12,Current,15153-3-BU,North,Business,Office supplies,Paper,Office supplies: Paper,Store,830,53.12,883.12,332
2021-11-04,Current,11780-3-IN,North,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1130,84.75,1214.75,452
2020-09-01,Prior,10714-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Website,1980,182.16,2162.16,792
2020-05-17,Prior,17146-5-IN,West,Individual,Electronics,TV and video,Electronics: TV and video,Website,5580,357.12,5937.12,2232
2021-06-10,Current,13805-5-BU,West,Business,Electronics,TV and video,Electronics: TV and video,Store,5900,123.9,6023.9,2360
2020-03-15,Prior,10369-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,1330,95.76,1425.76,532
2021-10-20,Current,11428-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,880,59.84,939.84,352
2021-10-12,Current,13937-2-IN,East,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,230,17.94,247.94,92
2020-03-10,Prior,17536-4-IN,South,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,80,7.04,87.04,32
2020-04-10,Prior,10588-2-IN,East,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1260,115.92,1375.92,504
2021-09-06,Current,13360-5-BU,West,Business,Office supplies,Paper,Office supplies: Paper,Store,380,21.66,401.66,152
2020-04-17,Prior,17161-2-BU,East,Business,Electronics,Cell phones,Electronics: Cell phones,Catalog,1200,86.4,1286.4,480
2021-12-29,Current,17312-5-IN,West,Individual,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Store,10,0.66,10.66,4
2021-09-06,Current,16225-3-BU,North,Business,Office supplies,Calendars,Office supplies: Calendars,Store,300,18.9,318.9,120
2021-09-15,Current,15591-2-BU,East,Business,Office supplies,Office basics,Office supplies: Office basics,Store,1580,101.12,1681.12,632
2021-11-01,Current,12473-4-BU,South,Business,Office supplies,Office basics,Office supplies: Office basics,Website,1960,168.56,2128.56,784
2020-06-27,Prior,17839-5-IN,West,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,3380,196.04,3576.04,1352
2020-03-31,Prior,17366-2-IN,East,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,2280,104.88,2384.88,912
2020-08-14,Prior,19403-4-IN,South,Individual,Electronics,Cell phones,Electronics: Cell phones,Catalog,1950,89.7,2039.7,780
2021-10-20,Current,15128-2-IN,East,Individual,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Store,130,4.81,134.81,52
2020-09-01,Prior,10903-4-IN,South,Individual,Office supplies,Paper,Office supplies: Paper,Website,290,10.15,300.15,116
2021-06-12,Current,11233-1-IN,Central,Individual,Office supplies,Calendars,Office supplies: Calendars,Catalog,30,1.32,31.32,12
2020-04-12,Prior,14774-5-IN,West,Individual,Electronics,Cell phones,Electronics: Cell phones,Website,2000,88.0,2088.0,800
2020-10-26,Prior,17611-5-BU,West,Business,Electronics,Cell phones,Electronics: Cell phones,Catalog,2820,98.7,2918.7,1128
2020-03-26,Prior,17711-1-IN,Central,Individual,Office supplies,Paper,Office supplies: Paper,Store,940,29.14,969.14,376
2021-07-15,Current,13704-1-BU,Central,Business,Office supplies,Writing,Office supplies: Writing,Website,380,12.16,392.16,152
2020-08-14,Prior,16561-4-IN,South,Individual,Office supplies,Paper,Office supplies: Paper,Store,300,20.4,320.4,120
2021-08-05,Current,13222-1-BU,Central,Business,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,120,3.96,123.96,48
2021-07-26,Current,10983-2-BU,East,Business,Office supplies,Office basics,Office supplies: Office basics,Website,1150,74.75,1224.75,460
2020-08-09,Prior,11314-3-IN,North,Individual,Office supplies,Writing,Office supplies: Writing,Catalog,360,30.6,390.6,144
2020-02-10,Prior,10333-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1920,84.48,2004.48,768
2021-09-09,Current,15316-5-IN,West,Individual,Electronics,Computers,Electronics: Computers,Store,750,25.5,775.5,300
2021-02-08,Current,12864-5-BU,West,Business,Office supplies,Calendars,Office supplies: Calendars,Store,100,4.5,104.5,40
2020-11-10,Prior,10949-5-IN,West,Individual,Electronics,TV and video,Electronics: TV and video,Catalog,1370,83.57,1453.57,548
2020-04-17,Prior,16969-3-IN,North,Individual,Electronics,Computers,Electronics: Computers,Store,2930,169.94,3099.94,1172
2020-09-20,Prior,15632-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,1510,57.38,1567.38,604
2020-09-13,Prior,19262-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Website,180,10.98,190.98,72
2020-02-22,Prior,11968-5-IN,West,Individual,Electronics,Cell phones,Electronics: Cell phones,Catalog,1550,65.1,1615.1,620
2020-03-10,Prior,11928-5-IN,West,Individual,Office supplies,Paper,Office supplies: Paper,Store,240,14.64,254.64,96
2021-09-26,Current,18011-1-IN,Central,Individual,Office supplies,Paper,Office supplies: Paper,Store,330,15.84,345.84,132
2021-07-04,Current,15334-2-IN,East,Individual,Office supplies,Calendars,Office supplies: Calendars,Store,100,5.6,105.6,40
2021-10-08,Current,13312-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Catalog,550,31.35,581.35,220
2020-10-26,Prior,11356-1-BU,Central,Business,Electronics,Cell phones,Electronics: Cell phones,Website,3420,229.14,3649.14,1368
2020-06-13,Prior,11536-4-BU,South,Business,Electronics,TV and video,Electronics: TV and video,Catalog,4050,97.2,4147.2,1620
2020-03-15,Prior,13609-4-BU,South,Business,Office supplies,Office basics,Office supplies: Office basics,Store,1340,88.44,1428.44,536
2020-04-28,Prior,11664-2-IN,East,Individual,Office supplies,Writing,Office supplies: Writing,Store,280,15.68,295.68,112
2021-09-09,Current,13501-1-BU,Central,Business,Office supplies,Writing,Office supplies: Writing,Catalog,300,13.5,313.5,120
2020-08-14,Prior,15065-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Catalog,1100,69.3,1169.3,440
2020-02-10,Prior,16894-1-IN,Central,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,120,4.2,124.2,48
2021-09-15,Current,11900-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Catalog,1670,121.91,1791.91,668
2021-04-29,Current,18230-4-IN,South,Individual,Office supplies,Paper,Office supplies: Paper,Website,420,32.76,452.76,168
2020-12-11,Prior,17144-5-BU,West,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,110,6.27,116.27,44
2020-11-17,Prior,10295-4-IN,South,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,70,4.06,74.06,28
2021-03-12,Current,18868-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Catalog,100,6.5,106.5,40
2021-11-01,Current,13837-4-IN,South,Individual,Office supplies,Paper,Office supplies: Paper,Store,480,26.88,506.88,192
2020-04-24,Prior,10356-5-IN,West,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,540,41.58,581.58,216
2020-11-01,Prior,18255-2-IN,East,Individual,Office supplies,Writing,Office supplies: Writing,Catalog,430,16.34,446.34,172
2020-05-26,Prior,14933-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,620,39.06,659.06,248
2021-12-29,Current,17276-2-IN,East,Individual,Office supplies,Paper,Office supplies: Paper,Website,980,56.84,1036.84,392
2020-11-01,Prior,12138-1-BU,Central,Business,Office supplies,Writing,Office supplies: Writing,Store,110,2.64,112.64,44
2021-07-13,Current,14360-1-IN,Central,Individual,Electronics,Cell phones,Electronics: Cell phones,Catalog,2310,133.98,2443.98,924
2020-02-04,Prior,11040-5-IN,West,Individual,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Catalog,140,8.12,148.12,56
2020-05-17,Prior,18441-2-IN,East,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Website,190,16.15,206.15,76
2020-01-07,Prior,18039-5-IN,West,Individual,Office supplies,Paper,Office supplies: Paper,Website,540,18.36,558.36,216
2020-07-06,Prior,13182-1-IN,Central,Individual,Office supplies,Writing,Office supplies: Writing,Website,460,34.96,494.96,184
2021-07-10,Current,13916-1-IN,Central,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,780,43.68,823.68,312
2020-11-11,Prior,14562-1-IN,Central,Individual,Office supplies,Paper,Office supplies: Paper,Catalog,840,52.08,892.08,336
2020-04-30,Prior,12247-2-BU,East,Business,Electronics,Cell phones,Electronics: Cell phones,Catalog,2700,145.8,2845.8,1080
2020-11-15,Prior,12715-3-IN,North,Individual,Office supplies,Paper,Office supplies: Paper,Store,740,48.84,788.84,296
2020-02-10,Prior,18927-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,410,21.32,431.32,164
2021-10-20,Current,17942-4-BU,South,Business,Office supplies,Writing,Office supplies: Writing,Store,170,5.78,175.78,68
2021-10-28,Current,19599-5-BU,West,Business,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Website,240,22.56,262.56,96
2021-12-31,Current,12453-1-IN,Central,Individual,Office supplies,Paper,Office supplies: Paper,Website,210,15.12,225.12,84
2021-07-04,Current,13195-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1780,129.94,1909.94,712
2020-09-01,Prior,11507-2-BU,East,Business,Office supplies,Writing,Office supplies: Writing,Store,50,1.8,51.8,20
2020-08-12,Prior,13128-5-IN,West,Individual,Electronics,Computers,Electronics: Computers,Store,4760,242.76,5002.76,1904
2021-07-30,Current,16081-2-IN,East,Individual,Electronics,TV and video,Electronics: TV and video,Store,3560,234.96,3794.96,1424
2021-12-16,Current,15298-3-BU,North,Business,Office supplies,Paper,Office supplies: Paper,Store,40,3.52,43.52,16
2020-11-23,Prior,14785-2-BU,East,Business,Electronics,Computers,Electronics: Computers,Store,2390,52.58,2442.58,956
2021-07-04,Current,13704-1-BU,Central,Business,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Website,100,3.2,103.2,40
2020-03-11,Prior,18154-2-IN,East,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,450,34.65,484.65,180
2020-09-14,Prior,19197-3-IN,North,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1160,82.36,1242.36,464
2020-02-16,Prior,19120-1-IN,Central,Individual,Office supplies,Office basics,Office supplies: Office basics,Catalog,860,67.08,927.08,344
2021-03-12,Current,11169-2-IN,East,Individual,Office supplies,Paper,Office supplies: Paper,Website,530,25.44,555.44,212
2021-07-13,Current,10402-3-BU,North,Business,Office supplies,Office basics,Office supplies: Office basics,Website,1600,68.8,1668.8,640
2021-09-06,Current,19197-3-IN,North,Individual,Electronics,TV and video,Electronics: TV and video,Website,8990,638.29,9628.29,3596
2020-01-26,Prior,10350-1-IN,Central,Individual,Office supplies,Office basics,Office supplies: Office basics,Website,1980,41.58,2021.58,792
2020-03-26,Prior,18680-4-BU,South,Business,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Store,40,2.12,42.12,16
2020-03-24,Prior,17052-4-BU,South,Business,Office supplies,Office basics,Office supplies: Office basics,Website,130,9.49,139.49,52
2021-05-03,Current,13915-2-BU,East,Business,Office supplies,Paper,Office supplies: Paper,Store,770,36.19,806.19,308
2020-08-28,Prior,19868-2-IN,East,Individual,Electronics,Computers,Electronics: Computers,Website,370,27.01,397.01,148
2020-06-28,Prior,15925-3-IN,North,Individual,Office supplies,Paper,Office supplies: Paper,Website,50,3.75,53.75,20
2021-01-10,Current,15599-1-IN,Central,Individual,Office supplies,Office basics,Office supplies: Office basics,Website,480,45.12,525.12,192
2020-10-08,Prior,17278-3-IN,North,Individual,Office supplies,Paper,Office supplies: Paper,Catalog,850,18.7,868.7,340
2021-12-16,Current,12143-2-IN,East,Individual,Electronics,Computers,Electronics: Computers,Store,4380,188.34,4568.34,1752
2020-10-29,Prior,13722-1-BU,Central,Business,Office supplies,Office basics,Office supplies: Office basics,Store,1320,75.24,1395.24,528
2021-12-16,Current,11352-5-IN,West,Individual,Office supplies,Writing,Office supplies: Writing,Catalog,440,19.36,459.36,176
2021-10-10,Current,11964-2-BU,East,Business,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Website,110,5.61,115.61,44
2020-08-15,Prior,18969-3-IN,North,Individual,Office supplies,Paper,Office supplies: Paper,Store,490,16.66,506.66,196
2021-07-15,Current,13154-3-IN,North,Individual,Office supplies,Paper,Office supplies: Paper,Website,20,1.46,21.46,8
2020-07-13,Prior,16894-1-IN,Central,Individual,Office supplies,Office basics,Office supplies: Office basics,Website,1500,52.5,1552.5,600
2020-02-14,Prior,16076-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,230,12.65,242.65,92
2021-10-28,Current,11194-5-IN,West,Individual,Electronics,TV and video,Electronics: TV and video,Store,7490,584.22,8074.22,2996
2020-07-18,Prior,15108-5-BU,West,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,520,34.84,554.84,208
2020-03-13,Prior,19000-4-IN,South,Individual,Electronics,TV and video,Electronics: TV and video,Store,3630,268.62,3898.62,1452
2021-09-02,Current,17037-3-BU,North,Business,Office supplies,Calendars,Office supplies: Calendars,Store,230,7.13,237.13,92
2021-12-29,Current,18721-1-IN,Central,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,590,42.48,632.48,236
2020-06-16,Prior,14932-5-IN,West,Individual,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Store,10,0.51,10.51,4
2021-07-23,Current,17055-3-IN,North,Individual,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Catalog,140,7.7,147.7,56
2020-02-10,Prior,11441-5-IN,West,Individual,Office supplies,Paper,Office supplies: Paper,Store,940,38.54,978.54,376
2021-08-18,Current,18265-4-IN,South,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,530,29.68,559.68,212
2020-08-15,Prior,16229-3-BU,North,Business,Office supplies,Office basics,Office supplies: Office basics,Catalog,1190,39.27,1229.27,476
2021-12-01,Current,16519-4-BU,South,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,10,0.44,10.44,4
2021-09-06,Current,18048-5-IN,West,Individual,Books,Nonfiction - History,Books: Nonfiction - History,Website,420,9.66,429.66,168
2020-04-10,Prior,10264-4-IN,South,Individual,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Catalog,10,0.65,10.65,4
2021-10-10,Current,18488-1-IN,Central,Individual,Office supplies,Office basics,Office supplies: Office basics,Website,1360,57.12,1417.12,544
2021-09-15,Current,15199-5-IN,West,Individual,Electronics,Computers,Electronics: Computers,Store,1630,94.54,1724.54,652
2020-03-26,Prior,15658-4-BU,South,Business,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Website,170,11.22,181.22,68
2021-02-10,Current,13864-4-IN,South,Individual,Office supplies,Paper,Office supplies: Paper,Website,70,5.11,75.11,28
2021-12-16,Current,16295-1-IN,Central,Individual,Electronics,TV and video,Electronics: TV and video,Store,5680,403.28,6083.28,2272
2020-08-26,Prior,12934-4-BU,South,Business,Office supplies,Writing,Office supplies: Writing,Store,410,27.88,437.88,164
2021-09-26,Current,16875-2-IN,East,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1120,45.92,1165.92,448
2021-10-08,Current,10041-5-IN,West,Individual,Office supplies,Paper,Office supplies: Paper,Website,220,20.68,240.68,88
2020-10-31,Prior,11838-1-IN,Central,Individual,Office supplies,Paper,Office supplies: Paper,Store,50,4.6,54.6,20
2020-08-28,Prior,11817-5-IN,West,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,2340,182.52,2522.52,936
2020-02-16,Prior,14173-2-IN,East,Individual,Office supplies,Calendars,Office supplies: Calendars,Website,80,5.92,85.92,32
2020-10-26,Prior,17182-2-IN,East,Individual,Office supplies,Calendars,Office supplies: Calendars,Store,150,6.15,156.15,60
2020-12-26,Prior,16017-1-BU,Central,Business,Electronics,TV and video,Electronics: TV and video,Catalog,200,9.0,209.0,80
2020-07-06,Prior,14528-2-IN,East,Individual,Office supplies,Writing,Office supplies: Writing,Store,320,20.16,340.16,128
2020-05-19,Prior,11697-3-IN,North,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,610,51.24,661.24,244
2021-07-04,Current,14360-1-IN,Central,Individual,Electronics,Cell phones,Electronics: Cell phones,Website,3320,192.56,3512.56,1328
2020-01-29,Prior,14493-5-BU,West,Business,Electronics,Computers,Electronics: Computers,Store,2920,157.68,3077.68,1168
2020-04-06,Prior,14986-5-IN,West,Individual,Office supplies,Writing,Office supplies: Writing,Website,270,9.72,279.72,108
2020-09-20,Prior,17841-1-IN,Central,Individual,Electronics,Camera and photo,Electronics: Camera and photo,Website,2980,226.48,3206.48,1192
2020-01-07,Prior,18404-3-BU,North,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Website,410,18.04,428.04,164
2020-02-14,Prior,16110-4-IN,South,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,190,10.64,200.64,76
2021-07-10,Current,14824-2-IN,East,Individual,Electronics,TV and video,Electronics: TV and video,Website,5510,369.17,5879.17,2204
2020-12-11,Prior,17058-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Website,2630,115.72,2745.72,1052
2020-08-15,Prior,15029-3-IN,North,Individual,Electronics,Computers,Electronics: Computers,Store,1460,68.62,1528.62,584
2021-07-23,Current,12642-2-IN,East,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,2790,209.25,2999.25,1116
2021-11-01,Current,19138-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,310,11.78,321.78,124
2021-12-31,Current,16298-2-IN,East,Individual,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Store,60,2.88,62.88,24
2020-08-28,Prior,16129-5-IN,West,Individual,Electronics,TV and video,Electronics: TV and video,Store,1210,39.93,1249.93,484
2020-01-21,Prior,13467-5-IN,West,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,630,36.54,666.54,252
